"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Villa","3789","352","","","Cairo","New Cairo City","Saada Compound","","3","3","2025-08-31","8","31"
"Apartment","1722","160",7650000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Penthouse","2271","211",14500000,"Cash","Red Sea","Hurghada","Al Gouna","","3","3","2025-08-31","8","31"
"Apartment","1722","160",6500000,"Cash","Alexandria","Hay Sharq","Roushdy","","2","2","2025-07-27","7","27"
"Twin House","2799","260",30000000,"Cash","North Coast","Qesm Ad Dabaah","Swan Lake North Coast","","5","5","2025-09-01","9","1"
"Duplex","3606","335",11600000,"Cash","Cairo","New Cairo City","",3600000,"3","3","2025-09-01","9","1"
"Apartment","915","85",6327846,"Cash","Red Sea","Hurghada","Hurghada Resorts",1265569,"1","1","2025-05-22","5","22"
"iVilla","2992","278",13500000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Villa","3283","305",10850000,"Cash","Cairo","Shorouk City","El Shorouk Compounds","","5","5","2025-08-12","8","12"
"Chalet","861","80",10000000,"Installments","Red Sea","Hurghada","",500000,"1","1","2025-08-31","8","31"
"Villa","2347","218",11370000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","3","3","2025-09-02","9","2"
"Penthouse","818","76",6520800,"Installments","Red Sea","Hurghada","Hurghada Resorts",1956240,"1","1","2025-08-23","8","23"
"Apartment","1755","163",4700000,"Cash","Alexandria","Hay Awal El Montazah","Sidi Beshr","","2","2","2025-09-01","9","1"
"Apartment","1884","175",8500000,"Cash","Cairo","New Cairo City","","","3","3","2025-07-22","7","22"
"iVilla","2368","220",7000000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Duplex","3369","313","","","North Coast","Al Alamein","New Alamein City","","3","3","2025-08-31","8","31"
"Villa","2691","250",26650000,"Installments","North Coast","Qesm Ad Dabaah","Hacienda Waters",5372000,"5","5","2025-08-31","8","31"
"Apartment","1378","128",8960000,"Installments","Cairo","New Cairo City","",1792000,"1.0","1.0","2025-09-01","9","1"
"Chalet","431","40",8000000,"Installments","North Coast","Al Alamein","Marina","","1","1","2025-09-01","9","1"
"Villa","1938","180",35627000,"Cash","North Coast","Ras Al Hekma","Salt","","3","3","2025-09-02","9","2"
"Apartment","1884","175",6600000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-31","8","31"
"Chalet","732","68",8000000,"Cash","Red Sea","Hurghada","Al Gouna",1200000,"1","1","2025-08-31","8","31"
"Chalet","1141","106",3255000,"Cash","North Coast","Sidi Abdel Rahman","Bianchi","","2","2","2025-08-21","8","21"
"Apartment","1722","160",13800000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"Apartment","1356","126",3200000,"Cash","Cairo","Nasr City","Nasr City Compounds","","3","3","2025-08-19","8","19"
"Apartment","1453","135",3600000,"Cash","Cairo","New Cairo City","El Lotus","","2","2","2025-09-02","9","2"
"Palace","10226","950",199000000,"Installments","North Coast","Qesm Marsa Matrouh","Caesar",19900000,"8","7","2025-09-01","9","1"
"Twin House","3229","300",22500000,"Cash","Cairo","New Cairo City","Ext North Inves Area","","4","4","2025-08-17","8","17"
"Penthouse","1647","153",17200000,"Installments","North Coast","Ras Al Hekma","Azha North","","3","3","2025-08-11","8","11"
"Apartment","1345","125",6000000,"Cash","Giza","6 October City","6 October Compounds","","2","2","2025-08-27","8","27"
"Apartment","1259","117",3000000,"Cash","Giza","Sheikh Zayed City","New Zayed City","","2","2","2025-09-02","9","2"
"Apartment","1808","168",10700000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"Twin House","3875","360",32000000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Townhouse","2260","210",25000000,"Cash","North Coast","Qesm Marsa Matrouh","Marsa Baghush",1250000,"4","4","2025-08-26","8","26"
"Apartment","2024","188",5850000,"Installments","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-08-31","8","31"
"Villa","3875","360",24500000,"Cash","Cairo","New Cairo City","North Investors Area","","4","4","2025-05-11","5","11"
"Townhouse","2530","235",35000000,"Installments","Cairo","New Cairo City","",1750000,"4","4","2025-09-02","9","2"
"Villa","7492","696",374000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","6","6","2025-09-01","9","1"
"Villa","3154","293",59000000,"Cash","North Coast","Qesm Ad Dabaah","D.O.S.E North Coast",5900000,"3","3","2025-08-26","8","26"
"Apartment","1345","125",4300000,"Cash","Cairo","New Cairo City","","","2","2","2025-06-26","6","26"
"Chalet","1302","121",10500000,"Cash","North Coast","Ras Al Hekma","Gaia","","2","2","2025-09-01","9","1"
"Villa","14068","1307",169050000,"Cash","Cairo","New Cairo City","","","7","7","2025-09-01","9","1"
"Apartment","2669","248",10435000,"Installments","North Coast","Al Alamein","New Alamein City",104350,"4","4","2025-08-31","8","31"
"Villa","1313","122",15000000,"Installments","Red Sea","Hurghada","",800000,"2","2","2025-08-31","8","31"
"Chalet","840","78",14500000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","1","1","2025-06-23","6","23"
"Villa","3229","300",23000000,"Cash","Cairo","New Capital City","New Capital Compounds","","4","4","2025-09-02","9","2"
"Chalet","1292","120",16000000,"Installments","Red Sea","Hurghada","",800000,"2","2","2025-08-26","8","26"
"Apartment","2142","199",7700000,"Cash","Cairo","New Cairo City","","","3","3","2025-07-20","7","20"
"Apartment","1970","183",6500000,"Cash","Alexandria","Alexandria Compounds","Alex West","","3","3","2025-07-16","7","16"
"Villa","3767","350",100000000,"Cash","North Coast","Al Alamein","Marina","","5","5","2025-08-26","8","26"
"Apartment","1776","165",4000000,"Cash","Cairo","New Cairo City","New Narges",2000000,"3","3","2025-08-11","8","11"
"Villa","4155","386",40000000,"Cash","Cairo","New Cairo City","","","7","7","2025-08-28","8","28"
"Chalet","732","68",7500000,"Cash","Red Sea","Hurghada","Makadi","","1","1","2025-08-29","8","29"
"Apartment","753","70",12250000,"Cash","Red Sea","Hurghada","Al Gouna","","1","1","2025-08-31","8","31"
"Chalet","1044","97",11734000,"Installments","North Coast","Ras Al Hekma","Gaia",2346800,"2","2","2025-08-25","8","25"
"Villa","1938","180",7900000,"Installments","Giza","6 October City","",5,"3","3","","",""
"Chalet","1507","140","","","North Coast","Al Alamein","New Alamein City","","3","3","2025-08-07","8","7"
"Chalet","1184","110",14500000,"Installments","North Coast","Ras Al Hekma","June","","2","2","2025-08-07","8","7"
"Villa","3014","280",8590000,"Installments","Giza","6 October City","6 October Compounds",390000,"4","4","2025-08-20","8","20"
"Apartment","2368","220",7500000,"Cash","Cairo","New Cairo City","","","3","3","2025-04-20","4","20"
"Chalet","1184","110",15000000,"Installments","North Coast","Sidi Abdel Rahman","Zoya",750000,"2","2","2025-08-25","8","25"
"Duplex","2336","217",13000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-08-28","8","28"
"Twin House","3714","345","","","Giza","Sheikh Zayed City","5th District","","7","7","2025-09-02","9","2"
"Chalet","1507","140",21500000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","2","2","2025-08-31","8","31"
